database,workload,count,min_ms,max_ms,mean_ms,p50_ms,p95_ms,throughput_ops_sec,read_operations,write_operations,workers
TigerGraph,point_lookup,100,247.32029996812344,1084.3026000075042,292.9404959984822,250.9447500051465,533.8365349947704,3.413608047396832,,,
TigerGraph,traversal_1hop,100,246.5626000193879,310.8840000350028,252.64576599933207,248.45129999448545,261.7193900136044,3.958048814768028,,,
TigerGraph,traversal_2hop,100,526.2923000263982,1196.520800003782,610.3593980043661,589.8871500103269,741.9040200358722,1.6380032773467426,,,
TigerGraph,traversal_3hop,100,509.2646999983117,687.9078000201844,579.412606000551,573.9917999890167,670.2123650175054,1.72586603176546,,,
TigerGraph,filtered_lookup,100,246.87440000707284,335.760299989488,264.14788599766325,255.77774998964742,316.0111550067086,3.785706881955431,,,
TigerGraph,aggregation,100,311.6969999973662,2227.5501000112854,433.9306359994225,343.01585002685897,749.4737749686462,2.3044881792361767,,,
TigerGraph,mixed_read_write,40,263.0242999875918,1252.1219000336714,380.4373350038077,284.7367999784183,1194.6728100418113,9.947214360990014,20,20,4
