database,workload,count,min_ms,max_ms,mean_ms,p50_ms,p95_ms,throughput_ops_sec,read_operations,write_operations,workers
CognoDB,point_lookup,100,254.08990000141785,376.51590001769364,259.9510130059207,255.6569500011392,294.33482501481194,3.8468204705539506,,,
CognoDB,traversal_1hop,100,254.42030001431704,400.61539999442175,267.27034300449304,256.1837499961257,321.1594149965094,3.741475268413882,,,
CognoDB,traversal_2hop,100,254.21709998045117,402.93510002084076,266.7923459992744,255.6670999911148,323.7119600526057,3.7481775517418354,,,
CognoDB,traversal_3hop,100,254.37869998859242,1463.2240000064485,357.17271099973004,273.9273000333924,880.4467449866933,2.799735018518393,,,
CognoDB,filtered_lookup,100,254.79279999854043,370.2610999462195,261.73696899903007,255.69619997986592,306.239609993645,3.820567958071847,,,
CognoDB,aggregation,100,252.7293000021018,348.41719997348264,259.044969996321,253.75610002083704,300.2903150278143,3.8602745225002346,,,
CognoDB,mixed_read_write,40,243.16549999639392,1370.0630000093952,335.7423449997441,256.65764999575913,1242.0404849603074,11.534740808029008,20,20,4
